"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"3526",22.4200000762939,"0","2",NA,"0",2.1,NA,NA,NA,NA,NA,NA,NA
"3527",32.6699981689453,"1","3",NA,"0",1.4,4.5,4,4,3,4,NA,NA
"3528",29,"0","2",NA,"1",3.4,NA,NA,NA,NA,NA,NA,NA
"3529",19.5,"0","3",88.6999969482422,"0",2,NA,NA,NA,NA,NA,NA,NA
"3530",26.25,"0","1",NA,"0",3.1,3,4.33333333333333,4,3,4,NA,NA
"3531",25.0799999237061,"1","2",65.0100021362305,"0",3.4,4,3.33333333333333,3,2,2.5,NA,NA
"3532",32.25,"1","1",NA,"0",1.7,5,3,4.5,2,5,NA,NA
"3533",40.8300018310547,"1","1",NA,"1",3.2,3.5,3.33333333333333,3.5,3,3.5,3.33333333333333,1.33333333333333
"3534",24.3299999237061,"0","1",54.5499992370605,"0",1.7,2.5,3.66666666666667,4,3,5,NA,NA
"3535",35.0800018310547,"0","1",57.0299987792969,"0",2.2,3.5,3.66666666666667,4.5,3,2.5,2.55555555555556,2.91666666666667
"3536",62.5,"0","1",74.6600036621094,"0",NA,4,3.66666666666667,5,2.5,4,NA,NA
"3537",30.4200000762939,"1","1",NA,"0",2.7,4.5,3,4.5,2.5,2.5,NA,NA
"3538",37.5,"0","1",60.9199981689453,"0",NA,2,3.33333333333333,4.5,3,3.5,NA,NA
"3539",30.5799999237061,"1","1",NA,"0",2.4,4.5,3.33333333333333,4,2.5,2.5,3.11111111111111,2.66666666666667
"3540",30.6700000762939,"0","1",48.1300010681152,"0",2.1,4,3.66666666666667,4,2.5,4,3.44444444444444,2.66666666666667
"3541",28.1700000762939,"0","1",70.5699996948242,"0",1.1,4.5,4,5,4,4.5,NA,NA
"3542",26.8299999237061,"0","3",70.5,"0",2.5,4,4,3.5,2.5,4.5,3.33333333333333,2.83333333333333
"3543",28.0799999237061,"1","3",76.4899978637695,"0",1.7,2.5,4.33333333333333,4,4,3,3.88888888888889,2.41666666666667
"3544",31.75,"0","1",54.5499992370605,"0",3.1,3,3.33333333333333,2.5,4,5,NA,NA
"3545",30.4200000762939,"0","2",NA,"0",1.9,NA,NA,NA,NA,NA,NA,NA
"3546",33.0800018310547,"1","1",40.5400009155273,"0",3.3,4,3.66666666666667,2.5,3,3,NA,NA
"3547",25.0799999237061,"1","1",25.9500007629395,"0",2.3,NA,NA,NA,NA,NA,NA,NA
"3548",27.0799999237061,"0","1",NA,"0",2.5,4,3.33333333333333,4.5,3.5,3.5,NA,NA
"3549",36.5800018310547,"1","1",17.7900009155273,"0",3.3,4.5,4,3,3,5,2.77777777777778,1.91666666666667
"3550",20.5,"0","2",36.9199981689453,"0",1.9,NA,NA,NA,NA,NA,NA,NA
"3551",25.25,"0","2",NA,"0",2,3.5,4.33333333333333,3.5,2,4.5,3.88888888888889,1.33333333333333
"3552",25.5,"1","1",NA,"0",1.7,NA,NA,NA,NA,NA,NA,NA
"3553",30.5,"0","2",NA,"0",1.9,5,4,3.5,4,5,3.33333333333333,2.5
"3554",25.75,"0","1",22.5699996948242,"0",1.8,4.5,4.33333333333333,4.5,3,5,3.55555555555556,1.83333333333333
"3555",21.8299999237061,"0","2",NA,"0",1.3,NA,NA,NA,NA,NA,NA,NA
"3556",25.75,"0","1",NA,"0",1.9,5,4,3,2.5,5,NA,NA
"3557",21.9200000762939,"0","3",80.7799987792969,"0",1.1,NA,NA,NA,NA,NA,NA,NA
